Source,Name,Blackbody Temperature (K),Luminosity (erg/s),Inner Radius (lg(cm)),Outer Radius (lg(cm)),Hden (cm-3)
SDSS,spec-57388-GAC066N34B2_sp11-066.fits.gz_residual_highpass.txt,29000.0,35.0,13.0,15.0,5.0
SDSS,spec-56358-GAC089N28B1_sp10-010.fits.gz_residual_highpass.txt,15000.0,27.0,13.0,15.0,5.0
SDSS,spec-59231-GAC086N35M1_sp15-039.fits.gz_residual_highpass.txt,32000.0,30.0,8.0,12.0,11.0
SDSS,spec-57690-GAC058N31B1_sp02-141.fits.gz_residual_highpass.txt,25000.0,29.0,7.0,8.0,9.0
SDSS,spec-57750-GAC081N11M1_sp07-214.fits.gz_residual_highpass.txt,38000.0,27.0,8.0,9.0,13.0
SDSS,spec-57312-GAC081N20M1_sp07-018.fits.gz_residual_highpass.txt,20000.0,22.0,8.0,16.0,11.0
SDSS,spec-59199-GACII038N37M2_sp14-188.fits.gz_residual_highpass.txt,35000.0,25.0,8.0,16.0,7.0
SDSS,spec-57035-GAC054N40M1_sp08-098.fits.gz_residual_highpass.txt,29000.0,36.0,11.0,14.0,9.0
SDSS,spec-57457-HD125136N030324M01_sp15-005.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,8.0,9.0
SDSS,spec-58074-GAC106N34M1_sp10-187.fits.gz_residual_highpass.txt,15000.0,25.0,10.0,15.0,9.0
SDSS,spec-58846-HD090902N172810M02_sp15-048.fits.gz_residual_highpass.txt,29000.0,32.0,11.0,13.0,7.0
SDSS,spec-58840-HD075207N031638B01_sp15-034.fits.gz_residual_highpass.txt,36000.0,23.0,6.0,10.0,9.0
SDSS,spec-56684-HD125136N030324B01_sp15-005.fits.gz_residual_highpass.txt,31000.0,28.0,7.0,12.0,11.0
SDSS,spec-59165-KII050806N241554B02_sp03-112.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,13.0,9.0
SDSS,spec-57281-KP190651N485531B02_sp03-106.fits.gz_residual_highpass.txt,13000.0,29.0,7.0,12.0,9.0
SDSS,spec-59135-HD220706N375402B01_sp03-109.fits.gz_residual_highpass.txt,31000.0,30.0,10.0,12.0,7.0
SDSS,spec-56800-HD150818N334223M01_sp03-093.fits.gz_residual_highpass.txt,15000.0,26.0,11.0,16.0,9.0
SDSS,spec-58046-GACII080N64M1_sp04-034.fits.gz_residual_highpass.txt,40000.0,33.0,7.0,9.0,15.0
SDSS,spec-57396-GAC114N32M1_sp06-184.fits.gz_residual_highpass.txt,17000.0,37.0,11.0,12.0,9.0
SDSS,spec-56570-VB021N31V1_sp13-089.fits.gz_residual_highpass.txt,25000.0,31.0,13.0,15.0,13.0
SDSS,spec-56978-EG001639N015102M01_sp03-059.fits.gz_residual_highpass.txt,30000.0,27.0,10.0,11.0,11.0
